birth,death,dim
0.000000000000000000e+00,7.397902607917785645e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.528147697448730469e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.536717653274536133e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.661606669425964355e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.670832276344299316e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.699573040008544922e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.710901498794555664e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.795017361640930176e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.826843261718750000e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.194030523300170898e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.290307521820068359e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.423739671707153320e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.474627733230590820e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.848869204521179199e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.869910240173339844e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.959928154945373535e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.133883714675903320e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.398871064186096191e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.400151968002319336e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.450334310531616211e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.564633369445800781e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.735850691795349121e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.778709411621093750e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.828704595565795898e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.997889995574951172e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.019482493400573730e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.032756567001342773e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.045054435729980469e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.092271685600280762e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.099100828170776367e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.111285567283630371e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.111746907234191895e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.114606499671936035e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.122957468032836914e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.134954333305358887e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.136188626289367676e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.136218428611755371e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.182283163070678711e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.193798065185546875e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.196213126182556152e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.197978258132934570e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.217221260070800781e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.221574783325195312e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.254240155220031738e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.264943361282348633e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.266426920890808105e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.286630153656005859e+00,0.000000000000000000e+00
